"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.01.2021","194.650,0","190.500,4","194.650,0","190.500,0","0,17K","2,18%"
"17.01.2021","190.500,4","195.025,5","195.025,5","190.500,4","0,19K","-2,70%"
"16.01.2021","195.788,3","198.899,0","199.980,0","195.788,3","0,14K","-1,56%"
"15.01.2021","198.899,0","204.949,7","204.949,7","198.899,0","0,39K","-2,95%"
"14.01.2021","204.949,7","197.950,0","204.949,7","197.950,0","0,41K","3,54%"
"13.01.2021","197.950,0","186.724,5","197.950,0","186.724,5","0,38K","6,01%"
"12.01.2021","186.724,5","200.000,0","200.000,0","186.724,5","0,51K","-6,64%"
"11.01.2021","200.000,0","210.116,2","210.116,2","200.000,0","1,15K","-4,81%"
"10.01.2021","210.116,2","220.000,0","222.996,0","210.116,2","0,72K","-4,71%"
"09.01.2021","220.500,0","224.300,0","224.300,0","220.500,0","0,18K","-1,69%"
"08.01.2021","224.300,0","216.991,0","224.300,0","216.991,0","0,70K","3,37%"
"07.01.2021","216.991,0","199.000,0","218.898,0","199.000,0","0,69K","9,04%"
"06.01.2021","199.000,0","179.000,0","199.000,0","179.000,0","0,46K","11,17%"
"05.01.2021","179.000,0","173.955,0","179.000,0","169.000,0","0,34K","2,90%"
"04.01.2021","173.955,0","175.998,3","175.998,3","173.955,0","0,56K","-1,16%"
"03.01.2021","175.998,3","168.900,0","175.998,3","168.900,0","0,30K","4,20%"
"02.01.2021","168.899,6","153.700,0","168.899,6","153.457,4","0,41K","9,89%"
"01.01.2021","153.700,0","152.762,0","153.700,0","152.762,0","0,09K","0,61%"
"31.12.2020","152.762,0","151.120,8","152.762,0","151.120,8","0,13K","1,09%"
"30.12.2020","151.120,8","143.970,5","151.120,8","143.970,5","0,29K","4,97%"
"29.12.2020","143.970,5","144.940,0","144.940,0","143.970,5","0,21K","-0,67%"
"28.12.2020","144.940,0","139.800,0","144.940,0","139.800,0","0,21K","3,68%"
"27.12.2020","139.800,0","142.345,0","150.000,0","139.800,0","0,42K","-1,79%"
"26.12.2020","142.345,0","130.000,0","142.345,0","130.000,0","0,28K","9,50%"
"25.12.2020","130.000,0","124.700,0","130.000,0","124.700,0","0,12K","4,25%"
"24.12.2020","124.700,0","123.001,0","124.700,0","122.651,9","0,09K","1,38%"
"23.12.2020","123.001,0","122.994,0","123.850,0","122.994,0","0,21K","0,01%"
"22.12.2020","122.994,0","118.056,0","122.994,0","118.056,0","0,20K","4,18%"
"21.12.2020","118.056,0","119.800,0","120.000,0","118.056,0","0,20K","-1,46%"
"20.12.2020","119.800,0","120.800,0","120.800,0","119.800,0","0,09K","-0,83%"
"19.12.2020","120.800,0","118.000,0","120.800,0","118.000,0","0,14K","2,37%"
"18.12.2020","118.000,0","114.220,0","118.000,0","114.220,0","0,17K","3,31%"
"17.12.2020","114.220,0","107.499,0","114.220,0","107.499,0","0,55K","6,25%"
"16.12.2020","107.499,0","99.300,0","107.499,0","99.299,8","0,50K","8,26%"
"15.12.2020","99.300,0","98.470,0","99.300,0","97.947,6","0,09K","0,84%"
"14.12.2020","98.470,0","97.500,0","98.509,9","97.500,0","0,09K","0,99%"
"13.12.2020","97.500,0","97.184,4","97.500,0","97.184,4","0,09K","0,32%"
"12.12.2020","97.184,4","92.631,8","97.184,4","92.631,8","0,10K","4,91%"
"11.12.2020","92.631,8","92.519,8","92.631,8","92.519,8","0,16K","0,12%"
"10.12.2020","92.519,8","97.315,3","97.315,3","92.519,8","0,13K","-4,93%"
"09.12.2020","97.315,3","94.950,9","97.315,3","94.950,9","0,17K","2,49%"
"08.12.2020","94.950,9","99.359,7","99.359,7","94.950,9","0,16K","-4,44%"
"07.12.2020","99.359,7","100.119,0","100.119,0","99.359,7","0,09K","-0,76%"
"06.12.2020","100.119,0","99.757,8","100.119,0","99.300,0","0,02K","0,36%"
"05.12.2020","99.757,8","97.818,3","99.757,8","97.818,3","0,04K","1,98%"
"04.12.2020","97.818,3","101.145,9","101.145,9","97.818,3","0,15K","-3,29%"
"03.12.2020","101.145,9","101.259,9","101.500,0","101.145,9","0,11K","-0,11%"
"02.12.2020","101.259,9","98.899,0","101.259,9","98.455,5","0,12K","2,39%"
"01.12.2020","98.899,0","104.500,0","104.500,0","98.899,0","0,23K","-5,36%"
"30.11.2020","104.500,0","98.398,0","104.500,0","98.398,0","0,31K","6,20%"
"29.11.2020","98.398,0","96.150,0","98.398,0","96.150,0","0,08K","2,34%"
"28.11.2020","96.150,0","92.552,1","96.150,0","92.552,1","0,09K","3,89%"
"27.11.2020","92.552,1","93.108,8","94.500,0","92.552,1","0,23K","-0,60%"
"26.11.2020","93.108,8","101.475,0","101.475,0","93.108,8","0,77K","-8,26%"
"25.11.2020","101.495,0","104.300,0","104.300,0","101.495,0","0,24K","-2,69%"
"24.11.2020","104.300,0","101.200,0","105.200,0","101.200,0","0,29K","3,06%"
"23.11.2020","101.200,0","100.300,0","101.200,0","100.020,3","0,17K","0,90%"
"22.11.2020","100.300,0","100.699,9","100.699,9","99.401,0","0,13K","-0,40%"
"21.11.2020","100.699,9","99.999,9","101.000,0","99.999,9","0,12K","0,70%"
"20.11.2020","99.999,9","96.029,0","99.999,9","96.029,0","0,29K","4,14%"
"19.11.2020","96.029,0","96.600,0","96.600,0","94.650,0","0,16K","-0,59%"
"18.11.2020","96.600,0","94.600,0","96.600,0","94.600,0","0,35K","2,11%"
"17.11.2020","94.600,0","91.097,3","94.600,0","91.097,3","0,27K","3,84%"
"16.11.2020","91.097,3","87.501,0","91.097,3","87.501,0","0,24K","4,11%"
"15.11.2020","87.501,0","88.100,0","88.100,0","87.500,8","0,03K","-0,68%"
"14.11.2020","88.100,0","89.177,0","89.177,0","88.100,0","0,08K","-1,21%"
"13.11.2020","89.177,0","88.767,5","89.177,0","88.767,5","0,22K","0,46%"
"12.11.2020","88.767,5","85.969,0","88.767,5","85.969,0","0,15K","3,26%"
"11.11.2020","85.969,0","83.900,0","85.969,0","83.900,0","0,17K","2,47%"
"10.11.2020","83.900,0","83.000,1","83.900,0","83.000,1","0,12K","1,08%"
"09.11.2020","83.000,1","84.299,8","84.299,8","81.000,0","0,19K","-1,54%"
"08.11.2020","84.299,8","80.495,0","84.299,8","80.495,0","0,10K","4,73%"
"07.11.2020","80.495,0","84.859,0","84.859,0","80.495,0","0,23K","-5,14%"
"06.11.2020","84.859,0","86.600,3","86.600,3","84.859,0","0,32K","-2,01%"
"05.11.2020","86.600,3","80.628,0","86.600,3","80.628,0","0,31K","7,41%"
"04.11.2020","80.628,0","80.500,0","80.628,0","79.601,0","0,16K","0,16%"
"03.11.2020","80.500,0","78.211,0","80.500,0","78.211,0","0,16K","2,93%"
"02.11.2020","78.211,0","79.205,0","79.205,0","78.183,3","0,08K","-1,25%"
"01.11.2020","79.205,0","79.405,0","79.405,0","79.098,9","0,04K","-0,25%"
"31.10.2020","79.405,0","78.101,0","79.405,0","78.101,0","0,09K","1,67%"
"30.10.2020","78.101,0","77.950,2","78.101,0","77.950,2","0,12K","0,19%"
"29.10.2020","77.950,2","76.899,0","77.950,2","76.899,0","0,12K","1,37%"
"28.10.2020","76.899,0","77.889,5","77.889,5","76.899,0","0,24K","-1,27%"
"27.10.2020","77.889,5","73.686,3","77.889,5","73.686,3","0,24K","5,70%"
"26.10.2020","73.686,3","73.500,0","73.686,3","73.500,0","0,13K","0,25%"
"25.10.2020","73.500,0","73.300,0","73.500,0","73.300,0","0,06K","0,27%"
"24.10.2020","73.300,0","72.250,0","73.300,0","72.250,0","0,05K","1,45%"
"23.10.2020","72.250,0","72.251,2","72.719,0","72.250,0","0,13K","-0,00%"
"22.10.2020","72.251,2","71.878,4","72.251,2","71.878,4","0,22K","1,19%"
"21.10.2020","71.401,2","66.979,3","72.100,0","66.979,3","0,59K","6,60%"
