"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.01.2021","5.301,00","5.312,00","5.323,50","5.239,00","168,65K","0,20%"
"15.01.2021","5.290,46","5.250,00","5.312,00","5.226,50","244,46K","1,76%"
"14.01.2021","5.199,11","5.297,50","5.305,00","5.194,00","271,92K","-2,02%"
"13.01.2021","5.306,10","5.348,00","5.357,50","5.273,50","303,53K","-1,00%"
"12.01.2021","5.359,56","5.475,00","5.497,50","5.316,00","312,62K","-2,24%"
"11.01.2021","5.482,53","5.470,00","5.520,00","5.454,00","292,60K","0,98%"
"08.01.2021","5.429,46","5.390,00","5.444,00","5.325,00","357,19K","0,62%"
"07.01.2021","5.395,83","5.352,50","5.421,50","5.304,00","317,95K","2,57%"
"06.01.2021","5.260,85","5.270,50","5.363,50","5.237,00","384,69K","-0,14%"
"05.01.2021","5.268,02","5.289,00","5.358,50","5.257,50","322,62K","0,33%"
"04.01.2021","5.250,67","5.137,50","5.292,00","5.121,50","353,34K","1,03%"
"30.12.2020","5.197,00","5.200,50","5.217,00","5.155,00","316,90K","0,08%"
"29.12.2020","5.192,96","5.226,50","5.246,00","5.163,00","253,30K","-1,30%"
"28.12.2020","5.261,18","5.175,00","5.311,50","5.163,50","281,02K","1,18%"
"23.12.2020","5.199,67","5.145,00","5.220,50","5.129,00","243,56K","0,75%"
"22.12.2020","5.160,74","5.134,50","5.172,00","5.109,00","202,50K","0,85%"
"21.12.2020","5.117,08","5.199,50","5.224,00","5.112,00","236,65K","0,60%"
"18.12.2020","5.086,70","5.105,00","5.116,00","5.071,50","242,93K","0,14%"
"17.12.2020","5.079,44","5.060,00","5.086,00","5.039,00","236,87K","-0,05%"
"16.12.2020","5.082,00","5.065,00","5.141,50","5.065,00","217,04K","-0,08%"
"15.12.2020","5.086,29","5.094,00","5.125,00","5.075,50","233,06K","-0,62%"
"14.12.2020","5.118,15","5.040,00","5.131,00","5.011,00","243,30K","1,04%"
"11.12.2020","5.065,34","5.045,50","5.089,00","5.030,00","319,27K","0,34%"
"10.12.2020","5.048,09","5.113,00","5.133,00","5.015,50","343,36K","-2,65%"
"09.12.2020","5.185,44","5.101,00","5.198,50","5.087,00","331,75K","1,33%"
"08.12.2020","5.117,16","5.124,00","5.139,00","5.063,00","321,18K","0,64%"
"07.12.2020","5.084,64","5.170,00","5.170,00","5.057,50","306,33K","-0,84%"
"04.12.2020","5.127,79","5.141,50","5.184,00","5.116,50","241,48K","-0,20%"
