"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.01.2021","313,30","309,00","313,30","308,00","0,16K","1,39%"
"15.01.2021","309,00","310,00","313,00","307,00","0,11K","0,00%"
"14.01.2021","309,00","313,00","313,00","307,50","0,08K","-1,75%"
"13.01.2021","314,50","318,00","318,00","313,30","0,29K","-0,16%"
"12.01.2021","315,00","323,00","323,50","315,00","0,07K","-3,52%"
"11.01.2021","326,50","322,92","327,00","320,00","0,15K","1,40%"
"08.01.2021","322,00","325,00","325,00","319,00","0,08K","-2,42%"
"07.01.2021","330,00","329,50","330,00","326,00","0,11K","1,07%"
"06.01.2021","326,50","330,00","333,00","325,11","0,18K","-1,66%"
"05.01.2021","332,00","328,97","335,35","328,97","0,17K","1,84%"
"04.01.2021","326,00","318,00","326,20","318,00","0,08K","3,16%"
"30.12.2020","316,00","313,00","316,00","312,00","0,06K","-0,31%"
"29.12.2020","316,99","316,00","316,99","310,00","0,04K","0,31%"
"28.12.2020","316,00","308,88","317,50","308,88","0,08K","0,96%"
"23.12.2020","313,00","305,40","313,00","305,40","0,10K","2,09%"
"22.12.2020","306,60","306,50","308,50","306,00","0,07K","0,26%"
"21.12.2020","305,80","308,00","310,70","305,00","0,07K","0,26%"
"18.12.2020","305,00","306,00","307,00","304,00","0,06K","-0,29%"
"17.12.2020","305,90","302,27","306,75","302,27","0,10K","1,96%"
"16.12.2020","300,01","303,00","303,45","300,00","0,15K","0,15%"
"15.12.2020","299,55","299,80","301,50","299,02","0,05K","0,35%"
"14.12.2020","298,50","291,30","298,50","291,00","0,13K","1,19%"
"11.12.2020","295,00","295,52","298,95","295,00","0,08K","-0,17%"
"10.12.2020","295,50","299,00","300,00","294,00","0,12K","-2,64%"
"09.12.2020","303,50","304,00","304,00","301,00","0,07K","-0,65%"
"08.12.2020","305,50","304,00","306,00","302,20","0,19K","0,33%"
"07.12.2020","304,50","302,00","304,50","297,00","0,14K","1,16%"
"04.12.2020","301,00","302,00","303,50","299,00","0,14K","-0,43%"
"03.12.2020","302,30","304,11","304,11","300,00","0,18K","-0,56%"
"02.12.2020","304,00","302,50","305,50","302,10","0,09K","0,50%"
"01.12.2020","302,50","303,68","306,50","300,51","0,05K","0,00%"
"30.11.2020","302,50","300,00","306,00","295,00","0,14K","-0,75%"
"27.11.2020","304,80","306,00","307,50","300,10","0,09K","-0,49%"
"26.11.2020","306,30","308,50","308,50","305,00","0,16K","0,23%"
"25.11.2020","305,60","309,03","309,70","305,00","0,59K","-0,94%"
"24.11.2020","308,50","314,55","314,55","308,30","0,13K","-2,86%"
"23.11.2020","317,58","320,00","320,00","316,00","0,10K","-1,37%"
"20.11.2020","322,00","316,50","322,98","316,50","0,06K","1,96%"
"19.11.2020","315,80","319,00","320,00","313,80","0,22K","-0,88%"
"18.11.2020","318,60","318,00","319,00","316,00","0,09K","-0,90%"
"17.11.2020","321,50","327,00","327,00","321,50","0,13K","-1,68%"
"16.11.2020","327,00","324,01","329,00","324,01","0,16K","-0,61%"
"13.11.2020","329,00","330,00","333,10","329,00","0,10K","0,61%"
"12.11.2020","327,00","322,50","327,90","322,50","0,16K","-0,91%"
"11.11.2020","330,00","324,50","332,00","322,00","0,33K","1,95%"
"10.11.2020","323,70","322,00","324,45","322,00","0,18K","0,79%"
"09.11.2020","321,16","337,00","337,00","315,83","0,31K","-4,42%"
"06.11.2020","336,01","345,00","347,50","336,01","0,05K","-2,75%"
"05.11.2020","345,50","341,50","346,00","341,00","0,27K","0,17%"
"04.11.2020","344,90","350,00","350,00","341,00","0,18K","-2,43%"
"03.11.2020","353,50","345,10","353,50","345,00","0,26K","2,46%"
"30.10.2020","345,00","345,00","348,00","343,00","0,11K","0,29%"
"29.10.2020","344,00","343,50","345,00","342,00","0,07K","-0,55%"
"28.10.2020","345,90","346,00","347,00","342,00","0,09K","0,12%"
"27.10.2020","345,50","339,50","346,49","339,50","0,17K","1,17%"
"26.10.2020","341,50","341,99","342,00","340,00","0,11K","0,34%"
"23.10.2020","340,35","339,50","341,00","338,01","0,06K","0,25%"
"22.10.2020","339,50","340,50","340,50","337,00","0,04K","-1,02%"
"21.10.2020","343,00","342,00","344,40","341,00","0,10K","0,88%"
"20.10.2020","340,00","339,50","341,00","338,00","0,05K","0,00%"
"19.10.2020","340,00","342,00","342,00","339,00","0,05K","-0,58%"
"16.10.2020","342,00","340,90","342,00","339,00","0,06K","0,34%"
"15.10.2020","340,85","339,00","341,90","338,60","0,10K","0,46%"
"14.10.2020","339,30","337,00","339,50","337,00","0,07K","1,10%"
"13.10.2020","335,60","338,00","338,00","335,60","0,06K","-1,00%"
"09.10.2020","339,00","337,50","341,50","336,53","0,08K","0,62%"
"08.10.2020","336,90","338,50","341,00","336,60","0,09K","-0,06%"
"07.10.2020","337,10","336,00","341,00","333,00","0,05K","0,33%"
"06.10.2020","336,00","337,01","340,00","334,70","0,13K","-0,88%"
"05.10.2020","339,00","342,30","342,50","339,00","0,02K","-1,40%"
"02.10.2020","343,80","343,00","343,80","340,00","0,12K","0,10%"
"01.10.2020","343,45","340,00","344,00","339,02","0,14K","1,91%"
